#TYPE Selected.System.Diagnostics.Process
"Id","ProcessName","Path","CommandLine"
"448","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"800","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"5704","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"5912","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"7068","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"7328","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"9412","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"10124","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"11464","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"11504","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"11988","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"12252","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"12540","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"12788","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"12832","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"13172","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"13320","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"13764","Antigravity","C:\Users\mzacx\AppData\Local\Programs\Antigravity\Antigravity.exe",
"9124","ApMsgFwd",,
"7916","ApntEx","C:\Program Files\DellTPad\Apntex.exe",
"12084","Apoint","C:\Program Files\DellTPad\Apoint.exe",
"9348","ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe",
"2336","armsvc",,
"3020","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"4480","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"5236","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"5408","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"5500","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"7876","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"11588","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"12452","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe",
"5940","cmd","C:\WINDOWS\system32\cmd.exe",
"9844","cmd","C:\WINDOWS\system32\cmd.exe",
"12408","cmd","C:\WINDOWS\system32\cmd.exe",
"1596","conhost",,
"3400","conhost","C:\WINDOWS\system32\conhost.exe",
"10612","conhost","C:\WINDOWS\system32\conhost.exe",
"11556","conhost","C:\WINDOWS\system32\conhost.exe",
"11924","conhost","C:\WINDOWS\system32\conhost.exe",
"488","csrss",,
"9172","csrss",,
"924","dasHost",,
"6828","dllhost","C:\WINDOWS\system32\DllHost.exe",
"10132","dwm",,
"2264","explorer","C:\WINDOWS\Explorer.EXE",
"3260","fontdrvhost",,
"2228","FoxitPDFReaderUpdateService",,
"10272","git","C:\Program Files\Git\mingw64\libexec\git-core\git.exe",
"7272","hidfind","C:\Program Files\DellTPad\HidFind.exe",
"2220","HidMonitorSvc",,
"2320","HPSIsvc",,
"0","Idle",,
"6448","InstallAgent","C:\Windows\System32\InstallAgent.exe",
"2376","InstallAgentUserBroker","C:\Windows\System32\InstallAgentUserBroker.exe",
"12172","language_server_windows_x64","c:\Users\mzacx\AppData\Local\Programs\Antigravity\resources\app\extensions\antigravity\bin\language_server_windows_x64.exe",
"648","lsass",,
"2792","Memory Compression",,
"4040","node","C:\Program Files\nodejs\node.exe",
"2292","OfficeClickToRun",,
"1472","postgres",,
"1648","postgres",,
"2588","postgres",,
"4496","postgres",,
"4620","postgres",,
"4624","postgres",,
"4632","postgres",,
"1032","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"2132","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"2172","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"3676","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"4264","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"8268","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"10320","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe",
"11572","powershell",,
"208","python","C:\Users\mzacx\AppData\Local\Programs\Python\Python313\python.exe",
"10244","python","C:\Users\mzacx\Desktop\SmartBiz\smartbiz-coach\backend\venv_new\Scripts\python.exe",
"10592","python","C:\Users\mzacx\Desktop\SmartBiz\smartbiz-coach\backend\venv_new\Scripts\python.exe",
"12484","python","C:\Users\mzacx\AppData\Local\Programs\Python\Python313\python.exe",
"14276","python","C:\Users\mzacx\AppData\Local\Programs\Python\Python313\python.exe",
"1448","rsAppUI","C:\Program Files\ReasonLabs\Common\Client\v1.6.0\rsAppUI.exe",
"3504","rsAppUI","C:\Program Files\ReasonLabs\Common\Client\v1.6.0\rsAppUI.exe",
"10452","rsAppUI","C:\Program Files\ReasonLabs\Common\Client\v1.6.0\rsAppUI.exe",
"11116","rsAppUI","C:\Program Files\ReasonLabs\Common\Client\v1.6.0\rsAppUI.exe",
"2984","rsClientSvc",,
"2932","rsEDRSvc",,
"3000","rsEngineSvc",,
"12076","rsHelper","C:\Program Files\ReasonLabs\EPP\rsHelper.exe",
"2732","rsSyncSvc",,
"2992","rsWSC",,
"10464","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe",
"11624","SDXHelper","C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe",
"10752","SearchFilterHost",,
"2764","SearchIndexer",,
"2548","SearchProtocolHost",,
"13828","SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe",
"4448","sedsvc",,
"2604","Service_KMS",,
"640","services",,
"980","SettingSyncHost","C:\WINDOWS\system32\SettingSyncHost.exe",
"1812","ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe",
"1156","sihost","C:\WINDOWS\system32\sihost.exe",
"384","smss",,
"10060","SM?RTP","C:\Program Files (x86)\SMADAV\SM?RTP.exe",
"1928","spoolsv",,
"744","svchost",,
"884","svchost",,
"968","svchost",,
"992","svchost",,
"1052","svchost",,
"1068","svchost",,
"1440","svchost",,
"1528","svchost",,
"1632","svchost",,
"1716","svchost",,
"1876","svchost",,
"2144","svchost",,
"2212","svchost",,
"2312","svchost",,
"2400","svchost",,
"2460","svchost",,
"2656","svchost",,
"2756","svchost",,
"8592","svchost","C:\WINDOWS\system32\svchost.exe",
"11772","svchost",,
"4","System",,
"1676","SystemSettings","C:\WINDOWS\ImmersiveControlPanel\SystemSettings.exe",
"10408","taskhostw","C:\WINDOWS\system32\taskhostw.exe",
"2200","WCDMA_Eject",,
"568","wininit",,
"5900","winlogon",,
"4444","winpty-agent","c:\Users\mzacx\AppData\Local\Programs\Antigravity\resources\app\node_modules\node-pty\build\Release\winpty-agent.exe",
"9500","wpscenter","C:\Users\mzacx\AppData\Local\Kingsoft\WPS Office\12.2.0.23155\office6\wpscenter.exe",
"2828","WsAppService3",,
"3252","WUDFHost",,
